Date,Description,Percentage,Course
2019-10-02,Homework assignment 3,3%,MAT406
2019-10-16,Homework assignment 4,3%,MAT406
2019-10-23,Homework assignment 5,3%,MAT406
2019-11-13,Homework assignment 6,3%,MAT406
2019-11-20,Homework assignment 7,3%,MAT406
2019-11-27,Homework assignment 8,3%,MAT406
2019-10-29,Midterm,31%,MAT406

2019-10-07,Term Test #1,20%,STA215
2019-11-18,Term Test #2,20%,STA215

2019-10-03,Test 1,25%,STA218
2019-10-31,Test 2,25%,STA218

2019-10-09,Term Test 1,20%,STA220
2019-11-20,Term Test 2,20%,STA220

2019-10-01,Term Test 1,15%,STA256
2019-11-05,Term Test 2,15%,STA256
2019-12-03,Term Test 3,15%,STA256

2019-09-27,Assignment #1,2%,STA258
2019-11-01,Assignment #2,2%,STA258
2019-11-29,Assignment #3,2%,STA258
2019-10-10,Term Test #1,20%,STA258
2019-11-21,Term Test #2,20%,STA258

2019-10-01,Test 1,25%,STA302
2019-11-05,Test 2,25%,STA302

2019-11-25,Project (see below for more details),26%,STA304
2019-10-21,Term Test,24%,STA304

2019-10-25,Midterm written in class,25%,STA314

2019-09-27,Assignment,2%,STA348
2019-11-01,Assignment,2%,STA348
2019-10-08,Term Test,20%,STA348
2019-11-19,Term Test,20%,STA348

